"CAT","AN","Q_CAT","Q_AN","FORMULA","Name","IDENT","M_WT","CAT_WT","AN_WT","Max","FLD","Ink","A_WT","ShowCalc","NoMol","FCALC","Visible","order","ShowOrder","Format","Flag","System","qAtom","Atoms","SimpleComp"
"V","Cl",1,3,"VCl3","VClã","vcl3",157.2996063232422,,,0.699999988079071,,false,,false,false,"RHaln,RHal",0,0,2,"##0.##;##0.00;\-;\*",1,"Halides",4,"V 1 50.9415 Cl 3 35.4527 ",
"Co",,1,,"Co","Co","co0",58.93320083618164,,,0.699999988079071,,false,,false,false,,0,0,3,"##0.##;##0.00;\-;\*",1,"Others",1,"Co 1 58.9332 ",
"Ge",,1,,"Ge","Ge","ge0",72.61000061035156,,,0.699999988079071,,false,,false,false,,0,0,3,"##0.##;##0.00;\-;\*",1,"Others",1,"Ge 1 72.61 ",
"Ni",,1,,"Ni","Ni","ni0",58.689998626708984,,,0.699999988079071,,false,,false,false,,0,0,3,"##0.##;##0.00;\-;\*",1,"Others",1,"Ni 1 58.69 ",
"Ca","C",1,2,"CaC2","CaCâ","cac2",64.0999984741211,,,0.699999988079071,,false,,false,false,,0,0,3,"##0.##;##0.00;\-;\*",1,"Others",3,"Ca 1 40.078 C 2 12.011 ",
"V","O",1,6,"VO6","VOæ","v6",146.93789672851562,,,0.699999988079071,,false,,false,false,"VO6,RmOn,VmOn",0,0,1,"##0.##;##0.00;\-;\*",1,"Others",7,"V 1 50.9415 O 6 15.9994 ",
"B","S",2,3,"B2S3","BâSã","bs",117.81999969482422,,,0.699999988079071,,false,,false,false,,0,0,3,"##0.##;##0.00;\-;\*",1,"Others",5,"B 2 10.811 S 3 32.066 ",
"Mo","O",1,2,"MoO2","MoOâ","mo4",127.93879699707031,,,0.699999988079071,,false,,false,false,"MoO2,RmOn,MomOn,RO2",0,0,1,"##0.##;##0.00;\-;\*",1,"RO2",3,"Mo 1 95.94 O 2 15.9994 ",
"Mo","O",2,5,"Mo2O5","MoâOå","mo5",271.87701416015625,,,0.699999988079071,,false,,false,false,"Mo2O5,RmOn,MomOn,R2O5",0,0,1,"##0.##;##0.00;\-;\*",1,"R2O5",7,"Mo 2 95.94 O 5 15.9994 ",
,,,,"NH4HF2","NHäHFâ","nh4hf2",57.04323959350586,,,0.699999988079071,,false,,false,true,,0,0,3,"##0.##;##0.00;\-;\*",1,"Others",8,"N 1 14.00674 H 5 1.00794 F 2 18.9984 ",
,,,,"HF+H2O","HF+HâO","hfho",0,,,0.699999988079071,,false,,false,true,,0,0,4,"##0.##;##0.00;\-;\*",1,"Others",0,,
,,,,"C2H5OH","CâHåOH","choh",46.06903839111328,,,0.699999988079071,,false,,false,true,,0,0,3,"##0.##;##0.00;\-;\*",1,"Others",9,"C 2 12.011 H 6 1.00794 O 1 15.9994 ",
,,,,"NaPO3","NaPOã","napo3",101.96170043945312,,,0.699999988079071,,false,,false,true,,0,0,3,"##0.##;##0.00;\-;\*",1,"Others",5,"Na 1 22.98977 P 1 30.97376 O 3 15.9994 ","Na2O 0.5 P2O5 0.5"
,,,,"NH4F","NHäF","nh4f",37.03689956665039,,,0.699999988079071,,false,,false,true,,0,0,3,"##0.##;##0.00;\-;\*",1,"Others",6,"N 1 14.00674 H 4 1.00794 F 1 18.9984 ","NH3 1 HF 1"
,,,,"Li2CO3","LiâCOã","li2co3",73.89119720458984,,,0.699999988079071,,false,,false,true,,0,0,3,"##0.##;##0.00;\-;\*",1,"Others",6,"Li 2 6.941 C 1 12.011 O 3 15.9994 ","Li2O 1 CO2 1"
"P","F",1,6,"PF6","PFæ","pf6",144.96420288085938,,,0.699999988079071,,false,,false,false,"RFn,RHaln,RF6",0,0,2,"##0.##;##0.00;\-;\*",1,"Halides",7,"P 1 30.97376 F 6 18.9984 ",
,,,,"Pt","Pt","pt0",195.0800018310547,,,0.699999988079071,,false,,false,false,,0,0,3,"##0.##;##0.00;\-;\*",1,"Others",1,"Pt 1 195.08 ",
"Sn","F",1,4,"SnF4","SnFä","snf4",194.70359802246094,,,0.699999988079071,,false,,false,false,"RFn,RHaln,RF4",0,0,2,"##0.##;##0.00;\-;\*",1,"Halides",5,"Sn 1 118.71 F 4 18.9984 ",
,,,,"N2","Nâ","n2",28.013479232788086,,,0.699999988079071,,false,,false,true,,0,0,3,"##0.##;##0.00;\-;\*",1,"Others",2,"N 2 14.00674 ",
,,,,"Am","Am","am0",243.0614013671875,,,0.699999988079071,,false,,false,false,,0,0,3,"##0.##;##0.00;\-;\*",1,"Others",1,"Am 1 243.0614 ",
,,,,"Ru","Ru","ru0",101.06999969482422,,,0.699999988079071,,false,,false,false,,0,0,3,"##0.##;##0.00;\-;\*",1,"Others",1,"Ru 1 101.07 ",
"Cr","O",3,4,"Cr3O4","CrãOä","cr34",219.98590087890625,,,0.699999988079071,,false,,false,false,"Cr3O4,RmOn,CrmOn",0,0,1,"##0.##;##0.00;\-;\*",1,"Others",7,"Cr 3 51.9961 O 4 15.9994 ",
"Ti","B",3,4,"Ti3B4","TiãBä","ti3b4",186.88400268554688,,,0.699999988079071,,false,,false,false,,0,0,3,"##0.##;##0.00;\-;\*",1,"Others",7,"Ti 3 47.88 B 4 10.811 ",
"Hg","O",2,1,"Hg2O","HgâO","hg1",417.1794128417969,,,0.699999988079071,,false,,false,false,"Hg2O,RmOn,HgmOn,R2O",0,0,1,"##0.##;##0.00;\-;\*",1,"R2O",3,"Hg 2 200.59 O 1 15.9994 ",
,,,,"Ca3N2","CaãNâ","ca3n2",148.24749755859375,,,0.699999988079071,,false,,false,true,,0,0,3,"##0.##;##0.00;\-;\*",1,"Others",5,"Ca 3 40.078 N 2 14.00674 ",
"Eu","F",1,2,"EuF2","EuFâ","euf2",189.96180725097656,,,0.699999988079071,,false,,false,false,"RFn,RHaln,RF2",0,0,2,"##0.##;##0.00;\-;\*",1,"Halides",3,"Eu 1 151.965 F 2 18.9984 ",
"Co","Br",1,2,"CoBr2","CoBrâ","cobr2",218.74119567871094,,,0.699999988079071,,false,,false,false,"RHaln,RHal",0,0,2,"##0.##;##0.00;\-;\*",1,"Halides",3,"Co 1 58.9332 Br 2 79.904 ",
"Fe","Br",1,2,"FeBr2","FeBrâ","febr2",215.65499877929688,,,0.699999988079071,,false,,false,false,"RHaln,RHal",0,0,2,"##0.##;##0.00;\-;\*",1,"Halides",3,"Fe 1 55.847 Br 2 79.904 ",
"As","F",1,5,"AsF5","AsFå","asf5",169.91360473632812,,,0.699999988079071,,false,,false,false,"RFn,RHaln,RF5",0,0,2,"##0.##;##0.00;\-;\*",1,"Halides",6,"As 1 74.92159 F 5 18.9984 ",
,,,,"CoSO4","CoSOä","coso4",154.99679565429688,,,0.699999988079071,,false,,false,true,,0,0,3,"##0.##;##0.00;\-;\*",1,"Others",6,"Co 1 58.9332 S 1 32.066 O 4 15.9994 ","CoO 1 SO3 1"
,,,,"MnSO4","MnSOä","mnso4",151.00160217285156,,,0.699999988079071,,false,,false,true,,0,0,3,"##0.##;##0.00;\-;\*",1,"Others",6,"Mn 1 54.93805 S 1 32.066 O 4 15.9994 ","MnO 1 SO3 1"
,,,,"NiSO4","NiSOä","niso4",154.75360107421875,,,0.699999988079071,,false,,false,true,,0,0,3,"##0.##;##0.00;\-;\*",1,"Others",6,"Ni 1 58.69 S 1 32.066 O 4 15.9994 ","NiO 1 SO3 1"
"Cu","Cl",1,2,"CuCl2","CuClâ","cucl2",134.45140075683594,,,0.699999988079071,,false,,false,false,"RHaln,RHal",0,0,2,"##0.##;##0.00;\-;\*",1,"Halides",3,"Cu 1 63.546 Cl 2 35.4527 ",
"Al","Cl",1,3,"AlCl3","AlClã","alcl3",133.339599609375,,,0.699999988079071,,false,,false,false,"RHaln,RHal",0,0,2,"##0.##;##0.00;\-;\*",1,"Halides",4,"Al 1 26.98154 Cl 3 35.4527 ",
,,,,"Pb","Pb","pb0",207.1999969482422,,,0.699999988079071,,false,,false,false,,0,0,3,"##0.##;##0.00;\-;\*",1,"Others",1,"Pb 1 207.2 ",
,,,,"Mn","Mn","mn0",54.93804931640625,,,0.699999988079071,,false,,false,false,,0,0,3,"##0.##;##0.00;\-;\*",1,"Others",1,"Mn 1 54.93805 ",
"Am","O",1,2,"AmO2","AmOâ","am4",275.0602111816406,,,0.699999988079071,,false,,false,false,"AmO2,RmOn,AmmOn,RO2",0,0,1,"##0.##;##0.00;\-;\*",1,"RO2",3,"Am 1 243.0614 O 2 15.9994 ",
"Np","O",1,2,"NpO2","NpOâ","np4",269.0469970703125,,,0.699999988079071,,false,,false,false,"NpO2,RmOn,NpmOn,RO2",0,0,1,"##0.##;##0.00;\-;\*",1,"RO2",3,"Np 1 237.0482 O 2 15.9994 ",
"Pu","O",1,2,"PuO2","PuOâ","pu4",276.06298828125,,,0.699999988079071,,false,,false,false,"PuO2,RmOn,PumOn,RO2",0,0,1,"##0.##;##0.00;\-;\*",1,"RO2",3,"Pu 1 244.0642 O 2 15.9994 ",
,,,,"As2Se3","AsâSeã","asse",386.72320556640625,,,0.699999988079071,,false,,false,true,,0,0,3,"##0.##;##0.00;\-;\*",1,"Others",5,"As 2 74.92159 Se 3 78.96 ",
