"CAT","AN","Q_CAT","Q_AN","FORMULA","Name","IDENT","M_WT","CAT_WT","AN_WT","Max","FLD","Ink","A_WT","ShowCalc","NoMol","FCALC","Visible","order","ShowOrder","Format","Flag"
"Dy","O",2,3,"Dy2O3","DyâOã","dy",372.9700012207031,162.5,15.989999771118164,0.30000001192092896,"Dy2O3",false,0,true,false,"RarmOn,RmOn",-1,,1,"##0.##;##0.00;\-;\*",1
"Er","O",2,3,"Er2O3","ErâOã","er",382.489990234375,167.25999450683594,15.989999771118164,0.30000001192092896,"Er2O3",false,0,true,false,"RarmOn,RmOn",-1,,1,"##0.##;##0.00;\-;\*",1
"Gd","O",2,3,"Gd2O3","GdâOã","gd",362.4700012207031,157.25,15.989999771118164,0.30000001192092896,"Gd2O3",false,0,true,false,"RarmOn,RmOn",-1,,1,"##0.##;##0.00;\-;\*",1
"Ga","O",2,3,"Ga2O3","GaâOã","ga",187.41000366210938,69.72000122070312,15.989999771118164,0.30000001192092896,"Ga2O3",false,0,true,false,"Ga2O3,R2O3,RmOn",-1,11,1,"##0.##;##0.00;\-;\*",1
"Fe","O",2,3,"Fe2O3","FeâOã","fe3",159.6699981689453,55.849998474121094,15.989999771118164,0.800000011920929,"Fe2O3",false,0,true,false,"FemOn,RmOn",-1,,1,"##0.##;##0.00;\-;\*",1
"Sc","O",2,3,"Sc2O3","ScâOã","sc",137.88999938964844,44.959999084472656,15.989999771118164,0.30000001192092896,"Sc2O3",false,0,true,false,"RmOn",-1,,1,"##0.##;##0.00;\-;\*",1
"Y","O",2,3,"Y2O3","YâOã","y",225.77999877929688,88.91000366210938,15.989999771118164,0.800000011920929,"Y2O3",false,0,true,false,"RmOn",-1,,1,"##0.##;##0.00;\-;\*",1
"In","O",2,3,"In2O3","InâOã","in",277.6099853515625,114.81999969482422,15.989999771118164,0.800000011920929,"In2O3",false,0,true,false,"RarmOn,RmOn",-1,,1,"##0.##;##0.00;\-;\*",1
"S","O",1,3,"SO3","SOã","s",80.02999877929688,32.060001373291016,15.989999771118164,0.30000001192092896,"SO3",false,0,true,false,"RmOn",-1,,1,"##0.##;##0.00;\-;\*",1
"Cu","O",2,1,"Cu2O","CuâO","cu1",143.08999633789062,63.54999923706055,15.989999771118164,0.30000001192092896,"Cu2O",false,0,true,false,"RmOn",-1,,1,"##0.##;##0.00;\-;\*",1
"W","O",1,3,"WO3","WOã","w",231.82000732421875,183.85000610351562,15.989999771118164,0.30000001192092896,"WO3",false,0,true,false,"WO3,RmOn",-1,,1,"##0.##;##0.00;\-;\*",1
"Ni","O",1,1,"NiO","NiO","ni",74.69000244140625,58.70000076293945,15.989999771118164,0.5,"NiO",false,0,true,false,"RmOn",-1,,1,"##0.##;##0.00;\-;\*",1
"Mo","O",1,3,"MoO3","MoOã","mo",143.91000366210938,95.94000244140625,15.989999771118164,0.30000001192092896,"MoO3",false,0,true,false,"RmOn",-1,,1,"##0.##;##0.00;\-;\*",1
"Cr","O",2,3,"Cr2O3","CrâOã","cr",151.97000122070312,52,15.989999771118164,0.30000001192092896,"Cr2O3",false,0,true,false,"RmOn",-1,,1,"##0.##;##0.00;\-;\*",1
"V","O",1,2,"VO2","VOâ","v4",82.91999816894531,50.939998626708984,15.989999771118164,0.30000001192092896,"VO2",false,0,true,false,"VmOn,RmOn",-1,,1,"##0.##;##0.00;\-;\*",1
"Th","O",1,2,"ThO2","ThOâ","th",264.010009765625,232.02999877929688,15.989999771118164,0.30000001192092896,"ThO2",false,0,true,false,"RarmOn,RmOn",-1,,1,"##0.##;##0.00;\-;\*",1
"Mn","O",1,2,"MnO2","MnOâ","mn4",86.91999816894531,54.939998626708984,15.989999771118164,0.30000001192092896,"MnO2",false,0,true,false,"RmOn",-1,,1,"##0.##;##0.00;\-;\*",1
"Co","O",1,1,"CoO","CoO","co",74.91999816894531,58.93000030517578,16,0.5,"CoO",false,0,true,false,"RmOn",-1,,1,"##0.##;##0.00;\-;\*",1
"Sb","O",2,3,"Sb2O3","SbâOã","sb",291.4700012207031,121.75,15.989999771118164,0.30000001192092896,"Sb2O3",false,,true,false,"SbmOm,RmOn",-1,,1,"##0.##;##0.00;\-;\*",1
"Cu","O",1,1,"CuO","CuO","cu2   ",79.54000091552734,63.54999923706055,15.989999771118164,0.5,"CuO",false,,true,false,"RmOn",-1,,1,"##0.##;##0.00;\-;\*",1
"Te","O",1,2,"TeO2","TeOâ","te    ",159.5800018310547,,,0.30000001192092896,"TeO2",false,,true,false,"TeO2,RmOn",-1,22,1,"##0.##;##0.00;\-;\*",1
"Sn","O",1,2,"SnO2","SnOâ","sn4   ",150.6699981689453,118.69000244140625,15.989999771118164,0.5,"SnO2",false,,true,false,"SnmOn,RmOn",-1,,1,"##0.##;##0.00;\-;\*",1
"Fe","O",3,4,"Fe3O4","FeãOä","fe34  ",231.50999450683594,,,0.30000001192092896,"Fe3O4",false,,true,false,"FemOn,RmOn",-1,,1,"##0.##;##0.00;\-;\*",1
"Fe","O",1,1,"FeO","FeO","fe    ",71.83999633789062,,,0.30000001192092896,"FeO",false,,true,false,"FemOn,RmOn",-1,8,1,"##0.##;##0.00;\-;\*",1
"Mn","O",1,1,"MnO","MnO","mn",70.93000030517578,54.939998626708984,15.989999771118164,0.5,"MnO",false,,true,false,"RmOn",-1,,1,"##0.##;##0.00;\-;\*",1
"Pr","O",2,3,"Pr2O3","PrâOã","pr    ",329.7900085449219,,,0.800000011920929,"Pr2O3",false,,true,false,"RarmOn,RmOn",-1,,1,"##0.##;##0.00;\-;\*",1
"Tb","O",2,3,"Tb2O3","TbâOã","tb    ",365.82000732421875,,,0.30000001192092896,"Tb2O3",false,,true,false,"RarmOn,RmOn",-1,,1,"##0.##;##0.00;\-;\*",1
"Yb","O",2,3,"Yb2O3","YbâOã","yb    ",394.04998779296875,173.0399932861328,,0.800000011920929,"Yb2O3",false,,true,false,"RarmOn,RmOn",-1,,1,"##0.##;##0.00;\-;\*",1
"As","O",2,3,"As2O3","AsâOã","as",197.80999755859375,74.91999816894531,15.989999771118164,0.800000011920929,"As2O3",false,0,true,false,"AsmOn,RmOn",-1,,1,"##0.##;##0.00;\-;\*",1
"Se","O",1,2,"SeO2","SeOâ","se4   ",110.94000244140625,,,0.30000001192092896,"SeO2",false,,true,false,"RmOn",-1,,1,"##0.##;##0.00;\-;\*",1
"Pb","O",1,2,"PbO2","PbOâ","pb4",239.17999267578125,,,0.30000001192092896,"PbO2",false,,true,false,"RmOn",-1,0,1,"##0.##;##0.00;\-;\*",1
"Ti","O",2,3,"Ti2O3","TiâOã","ti3",143.77000427246094,,,0.30000001192092896,"Ti2O3",false,,true,false,"RmOn",-1,0,1,"##0.##;##0.00;\-;\*",1
"Zr","O",1,2,"ZrO2","ZrOâ","zr",123.19999694824219,,,0.30000001192092896,"ZrO2",false,,true,false,"ZrO2,RO2,RmOn",-1,0,1,"##0.##;##0.00;\-;\*",0
