"Title","ShTitle","Abbr","flag"
"Spai Metalla so Steklom, Moskva-Leningrad","Spai Metalla so Steklom, Moskva-Leningrad","SMSS",1
"In: Stekloobraznoe Sostoyanie, Erevan","In: Stekloobraznoe Sostoyanie, Erevan","SSE",1
"In: Stekloobraznoe Sostoyanie, Leningrad","In: Stekloobraznoe Sostoyanie, Leningrad","SSL",1
"Silikattechnik","Silikattechnik","ST",1
"Szklo i ceram.","Szklo i Ceram.","SZC",1
"Thermochim.Acta","Thermochim.Acta","TA",1
"Technical Approach to Glass","Technical Approach to Glass","TAG",1
"Tr.Akad.Nauk Litov.SSR","Tr.Akad.Nauk Litov.SSR","TANLSSR",1
"Tr.Akad.Nauk Litov.SSR, B","Tr.Akad.Nauk Litov.SSR, B","TANLSSR;B",1
"Tr.Beloruss.Politekhn.Inst.","Tr.Beloruss.Politekhn.Inst.","TBPI",1
"Tr.Inst.Khim.Nauk Akad.Nauk Kaz.SSR","Tr.Inst.Khim.Nauk Akad.Nauk Kaz.SSR","TIKNANKSSR",1
"Trans.Faraday Soc.","Trans.Faraday Soc.","TFS",1
"Technical Glasses, London","Technical Glasses, London","TG",1
"Trans.Inst.Mining.Metall., sect.C","Trans.Inst.Mining.Metall., sect.C","TIMM;C",1
"Trans.Iron Steel Inst.Jpn","Trans.Iron Steel Inst.Jpn","TISIJ",1
"Tr.Leningr.Tekhnol.Inst.","Tr.Leningr.Tekhnol.Inst.","TLTI",1
"Technol.Rep.Kansai Univ.","Technol.Rep.Kansai Univ.","TRKU",1
"Univ.Ill.Bull.","Univ.Ill.Bull.","UIB",1
"Ukr.Khim.Zh.","Ukr.Khim.Zh.","UKZ",1
"Uzb.Khim.Zh.","Uzb.Khim.Zh.","UZBKZ",1
"Vestn.Akad.Nauk Kaz.SSR","Vestn.Akad.Nauk Kaz.SSR","VANKSSR",1
"Verres Refr.","Verres Refr.","VR",1
"Vetro e Silicati","Vetro e Silicati","VS",1
"Z.Chem.","Z.Chem.","ZC",1
"Z.anorg.allgem.Chem.","Z.anorg.allgem.Chem.","ZAAC",1
"Zh.Fiz.Khim.","Zh.Fiz.Khim.","ZFK",1
"Z.Phys.Chem.","Z.Phys.Chem.","ZPC",1
"Zh.Prikl.Khim.","Zh.Prikl.Khim.","ZPK",1
"Zh.Tekhn.Fiz.","Zh.Tekhn.Fiz.","ZTF",1
"Acta Physicochim.URSS","Acta Physicochim.URSS","APURSS",1
"Adv.Ceram.Mater.","Adv.Ceram.Mater.","ACM",1
"In: Advances in Fusion of Glass, American Ceramic Soc., Westerville,Ohio","In: Advances in Fusion of Glass, American Ceramic Soc., Ohio","ADVFG",1
"In: Advances in Glass Technology, Plenum Press, N.Y.","In: Advances in Glass Technology, Plenum Press, N.Y.","AGT",1
"Am.J.Sci.","Am.J.Sci.","AJS",1
"Am.J.Sci.,Ser.5","Am.J.Sci.,Ser.5","AJS;S5",1
"In: Amorphous Materials (eds R.W.Douglas and B.Ellis), Wiley-Interscience, London","In: Amorphous Materials, Wiley-Interscience, London","AM",1
"Ber.Dtsch.Keram.Ges.","Ber.Dtsch.Keram.Ges.","BDKG",1
"Boll.Soc.Espan.Ceram.Vidrio","Bol.Soc.Espan.Ceram.Vidrio","BSECV",1
"Brit.J.Appl.Phys.","Brit.J.Appl.Phys.","BJAP",1
"Bull.Inst.Chem.Res.Kyoto Univ.","Bull.Inst.Chem.Res.Kyoto Univ.","BICRKU",1
"Bull.Tokyo Inst.Technol.","Bull.Tokyo Inst.Technol.","BTIT",1
"Chem.Papers.","Chem.Papers","CPAP",1
"Compt.Rend.VII Congr.Intern. du Verre, Bruxelles","Compt.Rend.VII Congr.Intern. du Verre, Bruxelles","CGVII",1
"Contemp.Phys.","Contemp.Phys.","CP",1
"C.R.Acad.Bulg.Sci.","C.R.Acad.Bulg.Sci.","CRABS",1
"Dokl.Akad.Nauk Arm.SSR","Dokl.Akad.Nauk Arm.SSR","DANASSR",1
"Dokl.Bolg.Akad.Nauk","Dokl.Bolg.Akad.Nauk","DBAN",1
"Egypt.J.Chem.","Egypt.J.Chem.","EJC",1
"In: Electrical Properties of Glasses, Leningrad","In: Electrical Properties of Glasses, Leningrad","EPG",1
"In: Elektricheskie Svoistva i Stroenie Stekla, Moskva","In: Elektricheskie Svoistva i Stroenie Stekla, Moskva","ESSS",1
"In: Elektricheskie Svoistva i Stroenie Stekla, Erevan","In: Elektricheskie Svoistva i Stroenie Stekla, Erevan","ESSSE",1
"Elektrokhim.","Elektrokhim.","EK",1
"Elektrokhimiya i Rasplavy, Moskva","Elektrokhimiya i Rasplavy, Moskva","ER",1
"In: Elektron.Priborostroenie, Moskva","In: Elektron.Priborostroenie, Moskva","EP",1
"Elektron.Tekh., Ser.6, Mater.","Elektron.Tekh., Ser.6, Mater.","ET;S6",1
"Erzmetall","Erzmetall","EM",1
"In: Fiziko-Khimicheskie Osnovy Proizvodstva Stali, Moskva","In: Fiziko-Khimicheskie Osnovy Proizvodstva Stali, Moskva","FKOPS",1
"In: Fiziko-Khimicheskie Svoistva Troinoi Sistemy NaâO-PbO-SiOâ, Moskva","In: Fiz.-Khim.Svoistva Sistemy NaâO-PbO-SiOâ, Moskva","FKSTS",1
"In: Fiziko-Khimicheskie Issledovaniya Struktury i Svoistv Stekol i Steklokristallicheskikh Materialov, Moskva","In: Fiziko-Khim.Issled.Struktury i Svoistv Stekol, Moskva","FKISSSSM",1
"Infrared Phys.","Infrared Phys.","IP",1
"Iron Steel Inst.Journ.Intern.","Iron Steel Inst.Journ.Intern.","ISIJI",1
"In: Issledovanie Protsessov i Sovershenstvovanie Tekhnologii v Proizvodstve Polimernykh Materialov i Stekla, Ivanovo","In: Issledovanie Protsessov i Sovershenstvovanie Tekhnologii","IPSTPPMS",1
"In: Issledovanie Stekloobraznykh Sistem i Sintez Novykh Stekol na ikh Osnove, Moskva","In: Issled.Stekloobr.Sistem i Sintez Novykh Stekol, Moskva","ISSSNSO",1
"In: Issledovanie Stroitelnykh Materialov i Izdelii na Osnove Gornykh Porod Zakavkazya, Tbilisi","In: Issledovanie Stroitelnykh Materialov, Tbilisi","ISMIOGPZ",1
"In: Issledovaniya v Oblasti Khimii Silikatov i Okislov, Moskva","In: Issled. v Oblasti Khimii Silikatov i Okislov, Moskva","IOKSO",1
"In: IX Congr.Intern.du Verre, Versailles","In: IX Congr.Intern.du Verre, Versailles","CGIX",1
"In: IXth Silikonf, Budapest","In: IXth Siliconf, Budapest","IXSil",1
"Izv.Akad.Nauk Bel.SSR,ser.Khim.","Izv.Akad.Nauk Bel.SSR,ser.Khim.","IANBSSR;SK",1
"Izv.Akad.Nauk SSSR, Otd.Khim.Nauk","Izv.Akad.Nauk SSSR, Otd.Khim.Nauk","IANSSSR;OKN",1
"Izv.Vyssh.Uchebn.Zaved., Chern.Metal.","Izv.Vyssh.Uchebn.Zaved., Chern.Metal.","IVUZ;CM",1
